id,key,value,type
137084278,power,tower,regular
137084280,power,tower,regular
137084281,power,tower,regular
137084282,power,tower,regular
137084288,power,tower,regular
137084290,power,tower,regular
137084293,power,tower,regular
137084296,power,tower,regular
137084306,power,tower,regular
137087567,power,tower,regular
137087569,power,tower,regular
137087572,power,tower,regular
137087575,power,tower,regular
137087582,power,tower,regular
137087588,power,tower,regular
137087597,power,tower,regular
137087600,power,tower,regular
137087602,power,tower,regular
137087604,power,tower,regular
137087607,power,tower,regular
137087614,power,tower,regular
137087616,power,tower,regular
137087619,power,tower,regular
137087621,power,tower,regular
137087627,power,tower,regular
137087629,power,tower,regular
137087631,power,tower,regular
137087634,power,tower,regular
137087636,power,tower,regular
137087639,power,tower,regular
137087642,power,tower,regular
137087646,power,tower,regular
137087649,power,tower,regular
137087652,power,tower,regular
137087658,power,tower,regular
137087660,power,tower,regular
137087662,power,tower,regular
137087664,power,tower,regular
137087666,power,tower,regular
137087668,power,tower,regular
137087670,power,tower,regular
137087672,power,tower,regular
137087674,power,tower,regular
137087676,power,tower,regular
137087678,power,tower,regular
137087680,power,tower,regular
137087682,power,tower,regular
137087684,power,tower,regular
137087687,power,tower,regular
137087690,power,tower,regular
137087693,power,tower,regular
137087700,power,tower,regular
137087702,power,tower,regular
137087705,power,tower,regular
137087708,power,tower,regular
137087711,power,tower,regular
137087714,power,tower,regular
137087715,power,tower,regular
137087723,power,tower,regular
137087725,power,tower,regular
137087727,power,tower,regular
137087736,power,tower,regular
137087739,power,tower,regular
137087743,power,tower,regular
137087745,power,tower,regular
137087747,power,tower,regular
137088892,crossing,traffic_signals,regular
137088892,highway,traffic_signals,regular
137088958,ref,70,regular
137088958,highway,motorway_junction,regular
137089371,power,tower,regular
137090194,ref,76B,regular
137090194,highway,motorway_junction,regular
137091449,ref,64A,regular
137091449,highway,motorway_junction,regular
137091449,old_ref,64,regular
137092862,power,tower,regular
137092865,power,tower,regular
137092869,power,tower,regular
137092871,power,tower,regular
137092874,power,tower,regular
137092876,power,tower,regular
137092879,power,tower,regular
137092884,power,tower,regular
137092888,power,tower,regular
137092900,power,tower,regular
137092904,power,tower,regular
137092907,power,tower,regular
137092911,power,tower,regular
137092914,power,tower,regular
137092920,power,tower,regular
137092924,power,tower,regular
137092927,power,tower,regular
137092934,power,tower,regular
137092940,power,tower,regular
137092943,power,tower,regular
137092952,power,tower,regular
137093126,noexit,yes,regular
137093151,ref,64,regular
137093151,exit_to,US-93 North;Pioche Ely;Great Basin Highway,regular
137093151,highway,motorway_junction,regular
137093877,highway,turning_circle,regular
137093920,ref,38B,regular
137093920,exit_to,Flamingo Road West,regular
137093920,highway,motorway_junction,regular
137094154,railway,level_crossing,regular
137094154,bell,no,crossing
